"","id","Nombre_legislador","Provincia","Orientacion","Voto","Genero","Edad","Rango_Edad","Camara","Anio","seats","colour","orden","cantidad_filas","linea_media","government","x","y","row","theta"
"148",148,"Mendoza,  Josefina","BUENOS AIRES","CAMBIEMOS","AFIRMATIVO","FEMENINO",NA,"S/D","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.40426064735256,0.983273890887507,6,0.610865238198015
"149",149,"Mendoza,  Mayra Soledad","BUENOS AIRES","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","FEMENINO",57,"56-65","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.65247754863199,1.12664011612724,8,0.59839860068377
"150",150,"Menna,  Gustavo","CHUBUT","CAMBIEMOS","AFIRMATIVO","MASCULINO",43,"36-45","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.30659510504686,0.873038937602232,5,0.589048622548086
"151",151,"Mercado., Verónica","CATAMARCA","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","FEMENINO",47,"46-55","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.07419861467378,0.706511543233893,3,0.581776417331443
"152",152,"Mestre,  Diego Matías","CÓRDOBA","CAMBIEMOS","NEGATIVO","MASCULINO",48,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.25780863301923,1.36634440553582,7,2.31485774475037
"153",153,"Miranda., Pedro Rubén","MENDOZA","PJ","AFIRMATIVO","MASCULINO",60,"56-65","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.5547377453447,1.01576086508451,7,0.578714436187593
"154",154,"Moises,  María Carolina","JUJUY","MASSISMO Y ALIADOS","AFIRMATIVO","FEMENINO",44,"36-45","Diputadxs",2018,1,"#8DB994",1,8,128,1,0.976479319481701,0.593810228611924,2,0.546363939754747
"155",155,"Molina., Karina","LA RIOJA","CAMBIEMOS","NEGATIVO","FEMENINO",66,"66-75","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.95590086622694,1.06163546496771,4,2.30383461263251
"156",156,"Monaldi,  Osmar","JUJUY","CAMBIEMOS","NEGATIVO","MASCULINO",39,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.1019216166055,1.31321904534682,6,2.26892802759263
"157",157,"Monfort., Marcelo Alejandro","ENTRE RÍOS","CAMBIEMOS","NEGATIVO","MASCULINO",NA,"S/D","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.996903732257157,1.21473071242716,5,2.25801971976766
"158",158,"Montenegro,  Guillermo Tristán","BUENOS AIRES","CAMBIEMOS","NEGATIVO","MASCULINO",43,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.24697960371747,1.56366296493606,8,2.24399475256414
"159",159,"Morales,  Flavia","MISIONES","OTROS","NEGATIVO","FEMENINO",46,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.14068075213795,1.46554666030759,7,2.23218425386643
"160",160,"Morales., Mariana","SANTIAGO DEL ESTERO","MASSISMO Y ALIADOS","NEGATIVO","FEMENINO",NA,"S/D","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.767775332189296,1.03130124782791,3,2.21075038585948
